trainer_name,sprint_starts,wins,sprint_strike,expected_wins,expected_strike,break_on_top,break_on_top_strike,break_on_top_and_won,break_on_top_and_won_strike,break_on_top_expected_wins,break_on_top_and_won_expected_strike,break_last,break_last_strike,break_last_and_won,break_last_and_won_strike,break_last_expected_wins,break_last_and_won_expected_strike
Justin Jeansonne,53,11,0.20754717,10.67945858,0.20754717,6,0.113207547,3,0.056603774,1.822487918,0.037735849,5,0.094339623,2,0.037735849,1.084755044,0.018867925
Timothy C. Grams,67,14,0.208955224,11.72679291,0.179104478,6,0.089552239,3,0.044776119,0.912577733,0.014925373,12,0.179104478,3,0.044776119,1.745874762,0.029850746
Francisco Bravo,98,20,0.204081633,11.96351064,0.12244898,6,0.06122449,2,0.020408163,0.904303607,0.010204082,18,0.183673469,1,0.010204082,1.461817039,0.010204082
Jon G. Arnett,55,5,0.090909091,7.605829296,0.145454545,5,0.090909091,2,0.036363636,0.667709352,0.018181818,12,0.218181818,0,0,1.638819989,0.036363636
Aaron M. West,66,11,0.166666667,12.05828229,0.181818182,5,0.075757576,0,0,0.667441961,0.015151515,11,0.166666667,0,0,1.580799469,0.03030303
Ellen L. Jackson,51,7,0.137254902,4.912088252,0.098039216,5,0.098039216,2,0.039215686,0.863480637,0.019607843,7,0.137254902,0,0,0.566503484,0.019607843
Ian R. Wilkes,238,15,0.06302521,14.87291923,0.06302521,5,0.021008403,1,0.004201681,0.392922347,0,50,0.210084034,3,0.012605042,3.114119686,0.012605042
Michael E. Lauer,79,2,0.025316456,6.501505366,0.088607595,5,0.063291139,0,0,0.239299027,0,22,0.278481013,0,0,2.036560691,0.025316456
Ron Grieves,55,10,0.181818182,5.38136051,0.090909091,5,0.090909091,2,0.036363636,0.6441563,0.018181818,15,0.272727273,2,0.036363636,1.317357795,0.018181818
Carla Gaines,74,2,0.027027027,6.979566054,0.094594595,5,0.067567568,0,0,0.536831673,0.013513514,16,0.216216216,0,0,0.805007278,0.013513514
