Date,Horse,Age,Country,Race Name,Distance Furlongs,Surface,Notes
2012-05-12,Sea Siren,3,AUS,BTC Cup,6,Turf,
2012-05-26,Sea Siren,3,AUS,Doomben 10000,7,Turf,
2012-05-27,Golden Lilac,4,FR,Prix d'Ispahan,9,Turf,
2012-06-09,Mid Summer Music,6,AUS,Stradbroke H,7,Turf,
2012-06-23,Black Caviar,5,ENG,Diamond Jubilee Stakes,6,Turf,
2012-07-21,Danedream,4,ENG,King George VI Queen Elizabeth Stakes,12,Turf,
2012-08-05,Moonlight Cloud,4,FR,Prix Maurice de Gheest,6.5,Turf,
2012-08-12,Temida,4,GER,Grosser Preis von Bayern,12,Turf,
2012-08-24,Ortensia,7,ENG,Nunthorpe Stakes,5,Turf,
2012-09-02,Danedream,4,GER,Grosser Preis von Baden,12,Turf,
2012-09-08,Snow Fairy,5,IRE,Irish Champion Stakes,10,Turf,
2012-09-09,In The Spotlight,4,IND,Pres. of India Gold Cup,12,Turf,
2012-09-16,Moonlight Cloud,4,FR,Prix du Moulin,8,Turf,
2012-09-30,In The Spotlight,4,IND,Indian St. Leger,14,Turf,
2012-10-06,Shez Sinsational,5,NZ,Spring Classic,10,Turf,
2012-10-07,Solemia,4,FR,Prix de l'Arc de Triomphe,12,Turf,
2012-10-07,Wizz Kid,4,FR,Prix de l'Abbaye de Longchamp,5,Turf,
2012-10-13,Animas,3,ARG,Gran Premio Suipacha,5,Turf,
2012-11-03,Nechita,3,AUS,Coolmore Stud Stakes,6,Turf,
2012-11-03,Mizdirection,4,US,Breeders' Cup Turf Sprint,6.5,Turf,
2012-11-25,Gentildonna,3,JPN,Japan Cup,12,Turf,
2012-12-08,Final Touch,5,NZ,Captain Cook Stakes,8,Turf,
2012-12-09,Gamdonguibada,3,KOR,Grand Prix Stakes,11.5,Turf,
2013-01-01,Fleur De Lune,5,NZ,Railway Stakes,6,Turf,
2013-01-19,Final Touch,5,NZ,Telegraph Handicap,6,Turf,
2013-02-09,Final Touch,5,NZ,Waikato Draught Sprint,7,Turf,
2013-02-16,Black Caviar,6,AUS,Lightning Stakes,5,Turf,
2013-02-23,Mrs Onassis,5,AUS,Oakleigh Plate,5.5,Turf,
2013-02-23,Miracles of Life,2,AUS,Blue Diamond Stakes,6,Turf,
2013-03-02,Habibi,3,NZ,New Zealand Derby,12,Turf,
2013-03-09,Sajjhaa,6,UAE,Jebel Hatta,9,Turf,
2013-03-09,Ruud Awakening,2,NZ,Diamond Stakes,6,Turf,
2013-03-22,Black Caviar,6,AUS,William Reid Stakes,6,Turf,
2013-03-30,Sajjhaa,6,UAE,Dubai Duty Free,9,Turf,
2013-03-30,Recite,2,NZ,Manawatu Sires Produce Stakes,7,Turf,
2013-04-06,Overreach,2,AUS,Golden Slipper,6,Turf,
2013-04-13,Black Caviar,6,AUS,TJ Smith Stakes,6,Turf,
2013-04-13,Viadana,5,NZ,Easter Handicap,8,Turf,
2013-04-13,Guelph,2,AUS,Sires Produce Stakes,7,Turf,
2013-04-27,Guelph,2,AUS,Champagne Stakes,8,Turf,
2013-05-02,Watch Her,5,ARG,Gran Premio Ciudad de Buenos Aires,5,Dirt,
2013-05-11,Platelet,4,AUS,Goodwood Stakes,6,Turf,
2013-06-20,Estimate,4,ENG,Gold Cup,20,Turf,
2013-06-23,Azarenka,3,PER,Premio Jockey Club Del Peru,12,Turf,
2013-06-29,She's Happy,3,ARG,Estrellas Sprint,5,Turf,
2013-07-13,All Is Secret,3,SAF,Mercury Sprint,6,Turf,
2013-07-14,Better Life,4,SIN,Singapore Derby,10,Turf,
2013-07-21,Nymphea,4,GER,Grosser Preis von Berlin,12,Turf,
2013-08-04,Moonlight Cloud,5,FR,Prix Maurice de Gheest,6.5,Turf,
2013-08-23,Jwala,4,ENG,Nunthorpe Stakes,5,Turf,
2013-08-31,Atlantic Jewel,4,AUS,Memsie Stakes,7,Turf,
2013-09-14,The Fugue,4,IRE,Irish Champion Stakes,10,Turf,
2013-09-15,Voleuse De Coeurs,4,IRE,Irish St. Leger,14,Turf,
2013-09-21,Xanadu,5,NZ,Windsor Park Plate,8,Turf,
2013-09-21,Streama,5,AUS,George Main Stakes,8,Turf,
2013-09-27,Samaready,4,AUS,Moir Stakes,6,Turf,
2013-10-06,Treve,3,FR,Prix de l'Arc de Triomphe,12,Turf,
2013-10-06,Moonlight Cloud,5,FR,Prix de la Foret,7,Turf,
2013-10-12,Atlantic Jewel,5,AUS,Caulfield Stakes,10,Turf,
2013-10-12,City Glam,4,ARG,Gran Premio Suipacha,5,Turf,
2013-11-02,Mizdirection,5,US,Breeders' Cup Turf Sprint,6.5,Turf,
2013-11-09,Vererancia,4,ARG,Gran Premio Maipu,5,Turf,
2013-12-14,Vererancia,4,ARG,Gran Premio Felix de Alzaga Unzue Intl,5,Turf,
2013-12-14,Infiltrada,5,ARG,Premio Joaquin S de Anchorena Intl,8,Turf,
2014-01-01,Bounding,4,NZ,Railway Stakes,6,Turf,
2014-01-18,Recite,3,NZ,Levin Classic,8,Turf,
2014-01-18,Irish Fling,5,NZ,Telegraph Handicap,6,Turf,
2014-01-19,Roses in Bloom,4,IND,Golconda Derby,12,Turf,
2014-01-25,Via Africa,4,SAF,Cape Flying Championship,5,Turf,
2014-01-25,A Touch of Ruby,4,NZ,Thorndon Mile,8,Turf,
2014-02-02,Solaria,3,CHI,El Derby,12,Turf,
2014-02-08,Costume,4,NZ,Herbie Dyke Stakes,10,Turf,
2014-02-08,Viadana,6,NZ,NRM Sprint,7,Turf,
2014-02-15,Snitzerland,4,AUS,Black Caviar Lightning Stakes,5,Turf,
2014-02-22,Earthquake,2,AUS,Blue Diamond Stakes,6,Turf,
2014-03-08,Amelia,4,IND,Super Mile Cup,8,Turf,
2014-03-08,Silent Achiever,5,NZ,New Zealand Stakes,10,Turf,
2014-03-15,Appearance,5,AUS,Canterbury Stakes,6.5,Turf,
2014-03-22,Silent Achiever,5,AUS,Ranvet Stakes,10,Turf,
2014-03-29,Gentildonna,5,UAE,Dubai Sheema Classic,12,Turf,
2014-03-29,O'Marilyn,2,NZ,Manawatu Sire's Produce Stakes,7,Turf,
2014-04-05,Mossfun,2,AUS,Golden Slipper Stakes,6,Turf,
2014-04-05,Silent Achiever,5,AUS,The BMW,12,Turf,
2014-04-12,Peggy Jean,2,AUS,Inglis Sires',7,Turf,
2014-04-26,Carry On Alice,2,SAF,Nursery Stakes,6,Turf,
2014-04-26,Hana's Goal,5,AUS,All Aged Stakes,7,Turf,
2014-04-26,Go Indy Go,2,AUS,Champagne Stakes,8,Turf,
2014-05-17,Streama,5,AUS,Doomben Cup,10,Turf,
2014-05-18,Queen's Blade,3,KOR,Korean Derby,9,Dirt,
2014-06-07,Blind Ambition,3,BRZ,Grande Premio Major Suckow,5,Turf,
2014-06-18,The Fugue,5,ENG,Prince of Wale's Stakes,10,Turf,
2014-07-26,Taghrooda,2,ENG,King George VI and Queen Elizabeth Stakes,12,Turf,
2014-08-30,I Do,7,NZ,Makfi Challenge Stakes,7,Turf,
2014-09-28,Amazing Grace,4,IND,Indian St. Leger,14,Turf,
2014-10-04,Lucia Valentina,4,AUS,Turnbull Stakes,10,Turf,
2014-10-04,Costume,5,NZ,Livamol Classic,10,Turf,
2014-10-05,Treve,4,FR,Prix de l'Arc de Triomphe,12,Turf,
2014-11-22,Elite Belle,6,AUS,Railway Stakes,8,Turf,
2014-11-22,Magnifisio,5,AUS,Winterbottom Stakes,6,Turf,
2014-12-26,Soriano,5,NZ,Zabeel Classic,10,Turf,
2014-12-28,Gentildonna,5,JPN,Arima Kinen,12.5,Turf,
2015-01-01,In Style,5,NZ,Railway Stakes,6,Turf,
2015-01-24,Alboran Sea,3,SAF,Cape Flying Championship,5,Turf,
2015-02-07,Soriano,5,NZ,Herbie Dyke Stakes,10,Turf,
2015-02-22,Parranda,6,SIN,Singapore Cup,9,Turf,
2015-02-28,Suavito,4,AUS,Futurity Stakes,7,Turf,
2015-02-28,Shamal Wind,5,AUS,Oakleigh Plate,5.5,Turf,
2015-03-04,Rock Diva,4,NZ,Auckland Cup,16,Turf,
2015-03-07,Cosmic Endeavour,4,AUS,Canterbury Stakes,6.5,Turf,
2015-03-21,Sweet Idea,4,AUS,The Galaxy,5.5,Turf,
2015-03-28,Dolniya,4,UAE,Dubai Sheema Classic,12,Turf,
2015-04-18,Pasadena Girl,2,AUS,Champagne Stakes,8,Turf,
2015-04-18,Pondarosa Miss,4,NZ,Easter Handicap,8,Turf,
2015-04-25,Alboran Sea,3,SAF,Computaform Sprint,5,Turf,
2015-05-09,Delicacy,3,AUS,South Australian Derby,12.5,Turf,
2015-06-06,Srikandi,4,AUS,Stradbroke H,7,Turf,
2015-06-27,Feel the Race,3,ARG,Grand Premio Estrellas Sprint,5,Turf,
2015-06-28,Treve,5,FR,Grand Prix de Saint-Cloud,12,Turf,
2015-07-12,Angel Dust,3,IND,Kingfisher Derby Bangalore,10,Turf,
2015-08-16,Esoterique,5,FR,Prix Jacques Le Marois,8,Turf,
2015-08-19,Arabian Queen,3,ENG,Juddmonte International,10.5,Turf,
2015-08-21,Mecca's Angel,3,ENG,Nunthorpe Stakes,5,Turf,
2015-08-22,Beholder,5,US,Pacific Classic,10,Dirt,
2015-09-13,Ervedya,3,FR,Prix du Moulin de Longchamp,8,Turf,
2015-09-27,Nightflower,3,GER,Preis von Europa,12,Turf,
2015-10-03,Winx,4,AUS,Epsom Handicap,8,Turf,
2015-10-04,Straight Girl,6,JPN,Sprinters Stakes,6,Turf,
2015-10-18,Lovelyn,3,ITY,Gran Premio del Jockey Club,12,Turf,
2015-10-24,Winx,4,AUS,Cox Plate,10,Turf,
2015-10-31,Found,3,US,Breeders' Cup Turf,12,Turf,
2015-10-31,Tepin,4,US,Breeders' Cup Mile,8,Turf,
2015-11-01,Wapi,3,CHI,Premio El Ensayo Mega,12,Turf,
2015-11-07,Tirolesca,4,ARG,Gran Premio Maipu,5,Dirt,
2015-11-29,Shonan Pandora,4,JPN,Japan Cup,12,Turf,
2015-12-05,Perfect Reflection,3,AUS,Kingston Town Classic,9,Turf,
2015-12-06,Sambista,6,JPN,Champions Cup,9,Dirt,
2015-12-12,Tirolesca,4,ARG,Gran Premio Felix de Alzaga Unzue,5,Turf,
2016-01-30,Smart Call,4,SAF,J&B Met,10,Turf,
2016-02-13,Valley Girl,3,NZ,Herbie Dyke Stakes,10,Turf,
2016-02-13,Suavito,5,AUS,Orr Stakes,7,Turf,
2016-02-27,Winx,4,AUS,Chipping Norton Stakes,8,Turf,
2016-03-19,Griante,5,AUS,Galaxy Stakes,5.5,Turf,
2016-03-19,Winx,4,AUS,George Ryder Stakes,7.5,Turf,
2016-04-02,Winx,4,AUS,Doncaster,8,Turf,
2016-04-02,Luna Rossa,2,NZ,Manawatu Sires' Produce,7,Turf,
2016-04-02,Yankee Rose,2,AUS,Inglis' Sires Stakes,7,Turf,
2016-04-10,Lucia Valentina,5,AUS,Queen Elizabeth Stakes,10,Turf,
2016-04-15,Miss Temple City,4,US,Maker's Mark Mile,8,Turf,
2016-04-16,English,3,AUS,All Aged Stakes,7,Turf,
2016-04-30,Carry On Alice,4,SAF,Computaform Sprint,5,Turf,
2016-04-30,Cloth of Cloud,2,SAF,S A Nursery,6,Turf,
2016-05-08,Major Emblem,3,JPN,NHK Mile,8,Turf,
2016-06-11,Tsaritsa,3,AUS,Queensland Guineas,8,Turf,
2016-06-14,Tepin,5,ENG,Queen Anne Stakes,8,Turf,
2016-06-17,Quiet Reflection,3,ENG,Commonwealth Cup,6,Turf,
2016-06-26,Marialite,5,JPN,Takarazuka Kinen,11,Turf,
2016-08-19,Mecca's Angel,5,ENG,Nunthorpe Stakes,5,Turf,
2016-08-20,Lady Aurelia,2,FR,Prix Morny,6,Turf,
2016-09-03,Quiet Reflection,3,ENG,Sprint Cup Stakes,6,Turf,
2016-09-17,Tepin,5,CAN,Woodbine Mile,8,Turf,
2016-09-17,Winx,5,AUS,George Main Stakes,8,Turf,
2016-09-25,Waikika,5,ITY,Premio Vittorio di Capua,8,Turf,
2016-09-25,Nightflower,4,GER,Preis von Europa,12,Turf,
2016-10-02,Marsha,3,FR,Prix de l'Abbaye de Longchamp,5,Turf,
2016-10-02,Found,4,FR,Prix de l'Arc de Triomphe,12,Turf,
2016-10-08,Miss Temple City,4,US,Shadwell Turf Mile,8,Turf,
2016-10-08,Yankee Rose,2,AUS,Spring Champion Stakes,10,Turf,
2016-10-08,Winx,5,AUS,Caufield Stakes,10,Turf,
2016-10-15,Jameka,4,AUS,Caufield Cup,12,Turf,
2016-10-15,Minding,3,ENG,Queen Elizabeth II Stakes,8,Turf,
2016-10-22,Winx,5,AUS,Cox Plate,10,Turf,
2016-10-31,Color Rosa,3,CHI,Premio El Ensayo Mega,12,Turf,
2016-11-12,Sassagoula Springs,4,ARG,Gran Premio Maipu,5,Turf,
2016-12-03,Aide Memoire,5,NZ,Captain Cook Stakes,8,Turf,
2016-12-26,Consensus,5,NZ,Zabeel Classic,10,Turf,
2017-01-08,Hall of Famer,4,IND,Calcutta Derby,12,Turf,
2017-01-28,Thee Auld Floozie,5,NZ,Thorndon Mile,8,Turf,
2017-01-28,Carry On Alice,5,SAF,Cape Flying Championship,5,Turf,
2017-02-05,Hall of Famer,4,IND,Kingfisher Ultra Indian Derby,12,Turf,
2017-02-25,Catchy,2,AUS,Blue Diamond Stakes,6,Turf,
2017-02-25,Sheidel,5,AUS,Oakleigh Plate,5.5,Turf,
2017-02-25,Winx,5,AUS,Chipping Norton Stakes,8,Turf,
2017-02-26,Ruffina,3,IND,Poonawalla Breeders Multi-Million,7,Turf,
2017-03-05,Temerity,4,IND,Indian Turf Invitational Cup,12,Turf,
2017-03-16,Chenille,5,NZ,Auckland Cup,16,Turf,
2017-03-16,Lizzie L'Amour,4,NZ,New Zealand Stakes,6,Turf,
2017-03-18,Winx,5,AUS,George Ryder Stakes,7.5,Turf,
2017-03-18,She Will Reign,2,AUS,Golden Slipper,6,Turf,
2017-03-24,Silent Sedition,4,AUS,William Reid,6,Turf,
2017-03-25,Vivlos,4,UAE,Dubai Turf,9,Turf,
2017-03-25,Jameka,4,AUS,The BMW,12,Turf,
2017-04-01,Melody Belle,2,NZ,Manawatu Sires Produce Stakes,7,Turf,
2017-04-08,Winx,5,AUS,Queen Elizabeth Stakes,10,Turf,
2017-05-07,Aerolithe,3,JPN,NHK Mile Cup,8,Turf,
2017-05-13,Zhukova,5,US,Man O'War Stakes,11,Turf,
2017-06-20,Lady Aurelia,3,ENG,King's Stand Stakes,5,Turf,
2017-07-16,Manifold,3,IND,Bangalore Derby,10,Turf,
2017-07-29,Enable,3,ENG,King George VI and Queen Elizabeth Stakes,12,Turf,
2017-08-25,Marsha,4,ENG,Nunthorpe Stakes,5,Turf,
2017-09-16,Winx,6,AUS,George Main Stakes,8,Turf,
2017-09-29,She Will Reign,3,AUS,Moir Stakes,5,Turf,
2017-10-01,Enable,3,FR,Prix de l'Arc de Triomphe,12,Turf,
2017-10-01,Happily,2,FR,Gran Criterium,8,Turf,
2017-10-01,Bonneval,4,AUS,Underwood Stakes,9,Turf,
2017-10-07,Wow Cat,3,CHI,Gran Criterium Mauricio Serrano Palma,9.5,Dirt,
2017-10-07,Winx,6,AUS,Turnbull Stakes,10,Turf,
2017-10-21,Persuasive,4,ENG,Queen Elizabeth II Stakes,8,Turf,
2017-10-21,Lady in Lace,3,IND,Pune Derby,8,Turf,
2017-10-28,Winx,6,AUS,Cox Plate,10,Turf,
2017-11-04,Shillelagh,6,AUS,Kennedy Mile,8,Turf,
2017-12-02,Viddora,5,AUS,Winterbottom Stakes,6,Turf,
2017-12-09,Wow Cat,5,CHI,St. Leger,11,Turf,
2018-01-01,Volpe Veloce,4,NZ,Railway Stakes,6,Turf,
2018-01-20,Stolen Dance,6,NZ,Thorndon Mile,8,Turf,
2018-01-27,Oh Susanna,3,SAF,Sun Met,10,Turf,
2018-02-10,Lizzie L'Amour,5,NZ,Herbie Dyke Stakes,10,Turf,
2018-02-24,Devise,4,NZ,Haunui Farm WFA Group One Classic,8,Turf,
2018-03-03,Ruffina,4,IND,Sprinters Cup,8,Turf,
2018-03-03,Winx,6,AUS,Chipping Norton Stakes,8,Turf,
2018-03-04,Kangra,4,IND,Indian Turf Invitational Cup,12,Turf,
2018-03-10,Ladies First,5,NZ,Auckland Cup,16,Turf,
2018-03-24,Winx,6,AUS,George Ryder Stakes,7.5,Turf,
2018-03-24,Estijaab,2,AUS,Golden Slipper Stakes,6,Turf,
2018-03-24,In Her Time,5,AUS,Galaxy,5.5,Turf,
2018-03-31,Avantage,2,NZ,Manawatu Sires Produce Stakes,6,Turf,
2018-04-07,El Dorado Dreaming,2,AUS,Inglis Sires',7,Turf,
2018-04-14,Winx,6,AUS,Queen Elizabeth Stakes,10,Turf,
2018-04-21,Seabrook,2,AUS,Champagne Stakes,8,Turf,
2018-05-12,English,5,AUS,Doomben 10000,6,Turf,
2018-05-19,Rhododendron,4,ENG,Lockinge Stakes,8,Turf,
2018-05-25,La Extrana Dama,4,ARG,Premio De Mayo,12,Turf,
2018-08-05,Polydream,3,FR,Prix Maurice de Gheest,6.5,Turf,
2018-08-12,Alpha Centauri,3,FR,Prix Jacques le Marois,8,Turf,
2018-08-18,Winx,7,AUS,Winx Stakes,7,Turf,
2018-08-19,Pretty Pollyanna,2,FR,Prix Morny,6,Turf,
2018-09-01,Melody Belle,4,NZ,Tarzino Trophy,7,Turf,
2018-09-15,Winx,7,AUS,George Main Stakes,8,Turf,
2018-09-22,Melody Belle,4,NZ,Windsor Park Plate,8,Turf,
2018-09-28,Viddora,6,AUS,Moir Stakes,5,Turf,
2018-10-06,Maid of Heaven,3,AUS,Spring Champion Stakes,10,Turf,
2018-10-06,Savvy Coup,4,NZ,Livamol Classic,10,Turf,
2018-10-06,Winx,7,AUS,Turnbull Stakes,10,Turf,
2018-10-07,Enable,4,FR,Prix de l'Arc de Triomphe,12,Turf,
2018-10-07,Mabs Cross,4,FR,Prix de l'Abbaye de Longchamp,5,Turf,
2018-10-07,One Master,4,FR,Prix de la Foret,7,Turf,
2018-10-27,Wonderment,2,FR,Criterium de Saint-Cloud,10,Turf,
2018-10-27,Winx,7,AUS,Cox Plate,10,Turf,
2018-11-03,Enable,4,US,Breeders' Cup Turf,12,Turf,
2018-11-03,Sunlight,3,AUS,Coolmore Stud Stakes,6,Turf,
2018-11-10,Holly Woman,5,ARG,Gran Premio Maipu,5,Dirt,
2018-11-24,Almond Eye,3,JPN,Japan Cup,12,Turf,
