,ages,metric,ncond,age,saddle,decimalPrice,isFav,RPR,TR,OR,father,weight,res_win
76406,3yo+,2111.5,6,3.0,9.0,0.125,0,88.0,77.0,85.0,Gleneagles,56,0.0
76407,3yo+,2111.5,6,3.0,13.0,0.029411764705882363,0,77.0,66.0,79.0,Clodovil,53,0.0
76409,3yo+,2111.5,6,3.0,2.0,0.10526315789473684,0,92.0,80.0,96.0,Footstepsinthesand,61,0.0
76410,3yo+,2111.5,6,3.0,6.0,0.043478260869565216,0,82.0,70.0,88.0,Kodiac,57,0.0
76412,3yo+,2111.5,6,7.0,7.0,0.03448275862068965,0,68.0,57.0,79.0,Fastnet Rock,57,0.0
76413,3yo+,2111.5,6,3.0,4.0,0.08333333333333333,0,70.0,57.0,91.0,Champs Elysees,57,0.0
76414,3yo+,2111.5,6,3.0,5.0,0.08333333333333333,0,68.0,55.0,90.0,New Approach,58,0.0
76415,3yo+,2111.5,6,4.0,12.0,0.024390243902439025,0,38.0,27.0,73.0,Bated Breath,54,0.0
76418,3yo+,2111.5,6,6.0,7.0,0.125,0,60.0,47.0,52.0,Lope De Vega,58,0.0
76419,3yo+,2111.5,6,7.0,2.0,0.05882352941176471,0,69.0,56.0,62.0,Intense Focus,63,0.0
76420,3yo+,2111.5,6,7.0,9.0,0.125,0,58.0,45.0,52.0,Dylan Thomas,58,0.0
76421,3yo+,2111.5,6,4.0,13.0,0.047619047619047616,0,48.0,35.0,46.0,Canford Cliffs,55,0.0
76423,3yo+,2111.5,6,6.0,11.0,0.1,0,51.0,37.0,51.0,Zebedee,54,0.0
76424,3yo+,2111.5,6,8.0,5.0,0.038461538461538464,0,49.0,34.0,54.0,Papal Bull,59,0.0
76425,3yo+,2111.5,6,5.0,1.0,0.047619047619047616,0,58.0,43.0,65.0,Kodiac,64,0.0
76426,3yo+,2111.5,6,3.0,6.0,0.03448275862068965,0,47.0,30.0,62.0,Fracas,58,0.0
76427,3yo+,2111.5,6,4.0,14.0,0.0099009900990099,0,25.0,10.0,45.0,Camacho,50,0.0
76428,3yo+,2111.5,6,5.0,8.0,0.029411764705882363,0,31.0,16.0,52.0,Pour Moi,57,0.0
76429,3yo+,2111.5,6,4.0,3.0,0.01492537313432836,0,24.0,9.0,57.0,Iffraaj,59,0.0
76431,3yo,2513.5,6,3.0,5.0,0.3076923076923077,1,96.0,50.0,89.0,Manduro,58,1.0
76432,3yo,2513.5,6,3.0,2.0,0.09090909090909093,0,101.0,54.0,95.0,Teofilo,61,0.0
76433,3yo,2513.5,6,3.0,3.0,0.18181818181818185,0,91.0,43.0,90.0,Footstepsinthesand,60,0.0
76434,3yo,2513.5,6,3.0,6.0,0.13333333333333333,0,88.0,39.0,87.0,Make Believe,58,0.0
76435,3yo,2513.5,6,3.0,1.0,0.16666666666666666,0,95.0,46.0,95.0,Galileo,60,0.0
76436,3yo,2513.5,6,3.0,7.0,0.1176470588235294,0,82.0,32.0,83.0,Galileo,57,0.0
76437,3yo,2513.5,6,3.0,9.0,0.043478260869565216,0,74.0,23.0,79.0,Make Believe,55,0.0
76438,3yo,2513.5,6,3.0,4.0,0.08333333333333333,0,81.0,29.0,90.0,Pour Moi,60,0.0
76439,3yo,2513.5,6,3.0,8.0,0.01492537313432836,0,60.0,6.0,79.0,Zoffany,52,0.0
76440,3yo,2513.5,6,3.0,10.0,0.01492537313432836,0,57.0,2.0,76.0,Epaulette,53,0.0
76441,3yo+,2513.5,6,3.0,2.0,0.2,0,85.0,46.0,82.0,Camelot,60,1.0
76443,3yo+,2513.5,6,3.0,10.0,0.16666666666666666,0,75.0,34.0,83.0,American Pharoah,55,0.0
76449,3yo+,2513.5,6,3.0,3.0,0.09090909090909093,0,57.0,7.0,79.0,Nayef,60,0.0
76464,3yo+,1206.0,2,4.0,6.0,0.1,0,82.0,71.0,70.0,Slade Power,61,1.0
76465,3yo+,1206.0,2,5.0,1.0,0.15384615384615385,0,78.0,66.0,73.0,Elusive City,60,0.0
76466,3yo+,1206.0,2,5.0,5.0,0.06666666666666668,0,73.0,61.0,70.0,Requinto,61,0.0
76467,3yo+,1206.0,2,6.0,2.0,0.25,1,73.0,60.0,72.0,Mizzen Mast,62,0.0
76469,3yo+,1206.0,2,5.0,3.0,0.1111111111111111,0,64.0,50.0,71.0,Oasis Dream,62,0.0
76470,3yo+,1206.0,2,3.0,11.0,0.047619047619047616,0,59.0,43.0,67.0,Camacho,58,0.0
76471,3yo+,1206.0,2,3.0,7.0,0.038461538461538464,0,57.0,39.0,72.0,Cable Bay,60,0.0
76472,3yo+,1206.0,2,3.0,10.0,0.07692307692307693,0,52.0,34.0,70.0,Lawman,59,0.0
76473,3yo+,1206.0,2,4.0,4.0,0.125,0,52.0,34.0,71.0,Fast Company,62,0.0
76475,3yo+,1407.0,2,3.0,5.0,0.26666666666666666,0,98.0,81.0,85.0,Kingman,61,1.0
76476,3yo+,1407.0,2,8.0,7.0,0.038461538461538464,0,82.0,65.0,74.0,Approve,57,0.0
76477,3yo+,1407.0,2,4.0,4.0,0.06666666666666668,0,81.0,63.0,79.0,Charm Spirit,62,0.0
76478,3yo+,1407.0,2,5.0,2.0,0.14285714285714285,0,76.0,57.0,80.0,Mayson,62,0.0
76479,3yo+,1407.0,2,3.0,6.0,0.35714285714285715,1,75.0,54.0,82.0,Shamardal,60,0.0
76480,3yo+,1407.0,2,3.0,11.0,0.047619047619047616,0,69.0,48.0,77.0,Gleneagles,58,0.0
76481,3yo+,1407.0,2,5.0,8.0,0.03448275862068965,0,59.0,37.0,73.0,Sir Prancealot,59,0.0
76482,3yo+,1407.0,2,3.0,9.0,0.09090909090909093,0,57.0,34.0,80.0,Garswood,59,0.0
76483,3yo+,1407.0,2,3.0,10.0,0.038461538461538464,0,52.0,28.0,79.0,Dark Angel,58,0.0
76484,3yo+,1407.0,2,4.0,3.0,0.0196078431372549,0,55.0,31.0,79.0,Zoffany,62,0.0
76485,3yo+,1407.0,2,6.0,1.0,0.08333333333333333,0,59.0,35.0,85.0,Bahamian Bounty,62,0.0
76486,3yo+,1609.0,2,3.0,4.0,0.18181818181818185,0,77.0,72.0,70.0,Dark Angel,60,1.0
76487,3yo+,1609.0,2,4.0,1.0,0.13333333333333333,0,77.0,73.0,69.0,Champs Elysees,63,0.0
76488,3yo+,1609.0,2,3.0,2.0,0.5454545454545454,1,79.0,73.0,77.0,Gleneagles,63,0.0
76489,3yo+,1609.0,2,3.0,5.0,0.029411764705882363,0,66.0,59.0,68.0,Camacho,59,0.0
76490,3yo+,1609.0,2,3.0,9.0,0.024390243902439025,0,56.0,48.0,61.0,Zoffany,54,0.0
76491,3yo+,1609.0,2,3.0,3.0,0.18181818181818185,0,55.0,44.0,71.0,Starspangledbanner,60,0.0
76492,3yo+,1609.0,2,3.0,7.0,0.06666666666666668,0,48.0,36.0,67.0,Dutch Art,58,0.0
76493,3yo+,1609.0,2,3.0,6.0,0.029411764705882363,0,34.0,18.0,67.0,Dawn Approach,58,0.0
76496,3yo+,1609.0,2,3.0,7.0,0.5238095238095238,1,95.0,90.0,87.0,Siyouni,57,1.0
76497,3yo+,1609.0,2,3.0,4.0,0.08333333333333333,0,96.0,91.0,90.0,Footstepsinthesand,58,0.0
76498,3yo+,1609.0,2,3.0,3.0,0.23076923076923075,0,96.0,90.0,93.0,Invincible Spirit,60,0.0
76499,3yo+,1609.0,2,4.0,2.0,0.05263157894736842,0,90.0,82.0,92.0,Lope De Vega,63,0.0
76500,3yo+,1609.0,2,3.0,5.0,0.043478260869565216,0,72.0,59.0,89.0,Brazen Beau,58,0.0
76501,3yo+,1609.0,2,3.0,6.0,0.029411764705882363,0,49.0,29.0,88.0,Dark Angel,58,0.0
76511,3yo,2011.0,2,3.0,4.0,0.5,1,80.0,53.0,70.0,Zoffany,60,1.0
76512,3yo,2011.0,2,3.0,9.0,0.125,0,68.0,43.0,63.0,Golden Horn,57,0.0
76513,3yo,2011.0,2,3.0,5.0,0.09090909090909093,0,73.0,48.0,70.0,Maxios,60,0.0
76514,3yo,2011.0,2,3.0,6.0,0.07692307692307693,0,64.0,38.0,67.0,Bated Breath,58,0.0
76515,3yo,2011.0,2,3.0,2.0,0.1,0,64.0,38.0,72.0,Sepoy,61,0.0
76516,3yo,2011.0,2,3.0,7.0,0.05263157894736842,0,52.0,26.0,65.0,Camelot,58,0.0
76517,3yo,2011.0,2,3.0,3.0,0.2,0,59.0,32.0,72.0,Sea The Stars,61,0.0
76518,3yo,2011.0,2,3.0,8.0,0.0196078431372549,0,50.0,23.0,64.0,Alhebayeb,56,0.0
76519,3yo,2413.0,2,3.0,3.0,0.3809523809523809,1,92.0,68.0,83.0,Golden Horn,59,1.0
76520,3yo,2413.0,2,3.0,5.0,0.1,0,81.0,57.0,76.0,Muhaarar,56,0.0
76521,3yo,2413.0,2,3.0,4.0,0.1176470588235294,0,80.0,55.0,82.0,Camelot,58,0.0
76522,3yo,2413.0,2,3.0,2.0,0.3636363636363637,0,70.0,41.0,84.0,Golden Horn,59,0.0
76523,3yo,2413.0,2,3.0,1.0,0.13333333333333333,0,65.0,34.0,85.0,Kodiac,60,0.0
76527,4yo+,4323.5,1,6.0,3.0,0.06666666666666668,0,80.0,42.0,111.0,Sepoy,69,0.0
