DATE,RACE,CLASS,RACE NAME,DIST,SURF,STARTER NAME,PP,ODDS,FAVE,FIN,TRAINER,JOCKEY,TIME,PREV RACE,DAYS,SIRE,NOTES
8/23/19,1,MSW-NY-F,,5.5,Turf,American Song,7,17.20,FALSE,8,Jeremiah Englehart,"Jorge Vargas, Jr.",1:04.884,SAR 7/17 10,37,Maclean's Music,
8/23/19,1,MSW-NY-F,,5.5,Turf,Desbordes,10,13.60,FALSE,9,George Weaver,"Ricardo Santana, Jr.",1:04.999,,,Central Banker,
8/23/19,1,MSW-NY-F,,5.5,Turf,Lil Morning Star,9,91.00,FALSE,10,Kim Laudati,Joey Martinez,1:05.153,SAR 7/24 3,30,Central Banker,
8/23/19,4,MSW-NY,,5.5,Dirt,Three Jokers,8,2.00,TRUE,1,John Terranova II,Luis Saez,1:04.390,,,Twirling Candy,
8/23/19,4,MSW-NY,,5.5,Dirt,Tapizearance,6,17.80,FALSE,2,Gary Contessa,Manuel Franco,1:04.816,SAR 7/18 5,36,Tapizar,
8/23/19,4,MSW-NY,,5.5,Dirt,Scilly Cay,7,3.20,FALSE,3,Linda Rice,Jose Ortiz,1:04.816,,,Fed Biz,
8/23/19,4,MSW-NY,,5.5,Dirt,Hold My Call,9,18.10,FALSE,4,"Robert Falcone, Jr.",Kendrick Carmouche,1:04.933,,,Hold Me Back,
8/23/19,4,MSW-NY,,5.5,Dirt,Lord Camden,4,3.30,FALSE,5,Mark Casse,Tyler Gaffalione,1:05.398,SAR 8/9 4,14,Freud,
8/23/19,4,MSW-NY,,5.5,Dirt,True Grace,1,6.90,FALSE,6,Christophe Clement,Joel Rosario,1:05.437,,,Competitive Edge,
8/23/19,4,MSW-NY,,5.5,Dirt,Austrian,5,17.50,FALSE,7,D. Lukas,Joe Bravo,1:06.058,,,Freud,
8/23/19,4,MSW-NY,,5.5,Dirt,Solar Fire,2,12.40,FALSE,8,"John Toscano, Jr.","Ricardo Santana, Jr.",1:06.485,,,Fast Anna,
8/23/19,4,MSW-NY,,5.5,Dirt,Kampai,3,29.25,FALSE,9,Chris Englehart,Benjamin Hernandez,1:08.231,,,Central Banker,
8/23/19,7,STK-NY-F,Seeking the Ante S.,6.5,Dirt,Fierce Lady,5,1.10,TRUE,1,Dermot Magner,Javier Castellano,1:16.730,SAR 7/18 3,36,Competitive Edge,
8/23/19,7,STK-NY-F,Seeking the Ante S.,6.5,Dirt,Time Limit,3,11.80,FALSE,2,Michael Maker,"Irad Ortiz, Jr.",1:16.769,SAR 7/18 3,36,Bustin Stones,
8/23/19,7,STK-NY-F,Seeking the Ante S.,6.5,Dirt,My Italian Rabbi,6,2.65,FALSE,3,Jeremiah Englehart,Luis Saez,1:17.590,SAR 7/18 3,36,Competitive Edge,
8/23/19,7,STK-NY-F,Seeking the Ante S.,6.5,Dirt,Violent Point,1,5.80,FALSE,4,Mark Casse,John Velazquez,1:18.177,SAR 7/17 10,37,Violence,
8/23/19,7,STK-NY-F,Seeking the Ante S.,6.5,Dirt,Big Q,2,4.20,FALSE,5,Gary Gullo,Jose Lezcano,1:18.490,SAR 8/4 10,19,Big Brown,
8/23/19,7,STK-NY-F,Seeking the Ante S.,6.5,Dirt,Wharf Cat,4,31.00,FALSE,6,"Oscar Barrera, III",Luis Reyes,1:21.112,FL 7/29 6,25,Majestic City,
