rid,winningTime,ncond,class,age,decimalPrice,isFav,outHandicap,RPR,OR,TR,runners,res_win
115750,296.5,10,4,7,0.0294117647058823,0.0,2.54135893648449,98.0,105.0,81.0,6.0,0.0
115750,296.5,10,4,9,0.25,0.0,2.54135893648449,101.0,116.0,82.0,6.0,0.0
121594,258.75,5,4,4,0.25,0.0,2.54135893648449,140.0,117.0,111.0,12.0,1.0
121594,258.75,5,4,7,0.6000000000000001,1.0,2.54135893648449,129.0,133.0,85.0,12.0,0.0
121594,258.75,5,4,5,0.024390243902439,0.0,2.54135893648449,106.0,74.67707319605019,70.0,12.0,0.0
121594,258.75,5,4,5,0.2222222222222222,0.0,2.54135893648449,108.0,122.0,71.0,12.0,0.0
121594,258.75,5,4,6,0.024390243902439,0.0,2.54135893648449,100.0,74.67707319605019,62.0,12.0,0.0
121594,258.75,5,4,5,0.0588235294117647,0.0,2.54135893648449,99.0,74.67707319605019,60.0,12.0,0.0
121594,258.75,5,4,5,0.0384615384615384,0.0,2.54135893648449,95.0,74.67707319605019,56.0,12.0,0.0
121594,258.75,5,4,6,0.0588235294117647,0.0,2.54135893648449,92.0,74.67707319605019,52.0,12.0,0.0
121594,258.75,5,4,6,0.0344827586206896,0.0,2.54135893648449,85.0,74.67707319605019,42.0,12.0,0.0
121594,258.75,5,4,5,0.0149253731343283,0.0,2.54135893648449,76.0,74.67707319605019,31.0,12.0,0.0
124699,310.8,5,4,8,0.2857142857142857,1.0,2.54135893648449,115.0,107.0,58.0,6.0,1.0
124699,310.8,5,4,8,0.2666666666666666,0.0,2.54135893648449,129.0,122.0,71.0,6.0,0.0
124699,310.8,5,4,11,0.1,0.0,2.54135893648449,103.0,103.0,45.0,6.0,0.0
124699,310.8,5,4,9,0.1818181818181818,0.0,2.54135893648449,96.0,99.0,37.0,6.0,0.0
126822,330.97,5,1,7,0.2,0.0,2.54135893648449,151.0,150.0,126.0,6.0,1.0
126822,330.97,5,1,6,0.0476190476190476,0.0,2.54135893648449,148.0,130.0,124.0,6.0,0.0
126822,330.97,5,1,7,0.125,0.0,2.54135893648449,148.0,146.0,123.0,6.0,0.0
126822,330.97,5,1,8,0.0294117647058823,0.0,2.54135893648449,138.0,134.0,109.0,6.0,0.0
