race_date,race_no,race_country,dividends,last_updated
2016-10-08,10,HK,"{""quartet"": [{""dividend"": 14268.0, ""combination"": [1, 13, 5, 11]}], ""quinella"": [{""dividend"": 188.0, ""combination"": [1, 13]}], ""null"": [], ""pla"": [{""dividend"": 32.0, ""combination"": [1]}, {""dividend"": 15.5, ""combination"": [13]}, {""dividend"": 20.5, ""combination"": [5]}], ""tierce"": [{""dividend"": 2453.0, ""combination"": [1, 13, 5]}], ""win"": [{""dividend"": 106.5, ""combination"": [1]}], ""qpl"": [{""dividend"": 72.5, ""combination"": [1, 13]}, {""dividend"": 90.0, ""combination"": [1, 5]}, {""dividend"": 40.0, ""combination"": [5, 13]}]}",2016-10-09 00:14:36.107018
2016-10-08,8,HK,"{""quartet"": [{""dividend"": 82428.0, ""combination"": [8, 12, 11, 2]}], ""quinella"": [{""dividend"": 604.5, ""combination"": [8, 12]}], ""null"": [], ""pla"": [{""dividend"": 27.0, ""combination"": [8]}, {""dividend"": 50.0, ""combination"": [12]}, {""dividend"": 27.0, ""combination"": [11]}], ""tierce"": [{""dividend"": 7167.0, ""combination"": [8, 12, 11]}], ""win"": [{""dividend"": 68.0, ""combination"": [8]}], ""qpl"": [{""dividend"": 154.0, ""combination"": [8, 12]}, {""dividend"": 108.5, ""combination"": [8, 11]}, {""dividend"": 135.0, ""combination"": [11, 12]}]}",2016-10-09 00:15:08.236140
2016-10-08,5,HK,"{""quartet"": [{""dividend"": 64103.0, ""combination"": [5, 2, 1, 8]}], ""quinella"": [{""dividend"": 427.0, ""combination"": [2, 5]}], ""null"": [], ""pla"": [{""dividend"": 35.0, ""combination"": [5]}, {""dividend"": 23.5, ""combination"": [2]}, {""dividend"": 29.0, ""combination"": [1]}], ""tierce"": [{""dividend"": 9830.0, ""combination"": [5, 2, 1]}], ""win"": [{""dividend"": 135.5, ""combination"": [5]}], ""qpl"": [{""dividend"": 112.0, ""combination"": [2, 5]}, {""dividend"": 209.5, ""combination"": [1, 5]}, {""dividend"": 141.5, ""combination"": [1, 2]}]}",2016-10-09 00:15:58.945099
2016-10-08,9,HK,"{""quartet"": [{""dividend"": 17298.0, ""combination"": [10, 8, 14, 7]}], ""quinella"": [{""dividend"": 72.5, ""combination"": [8, 10]}], ""null"": [], ""pla"": [{""dividend"": 22.5, ""combination"": [10]}, {""dividend"": 11.5, ""combination"": [8]}, {""dividend"": 34.0, ""combination"": [14]}], ""tierce"": [{""dividend"": 2345.0, ""combination"": [10, 8, 14]}], ""win"": [{""dividend"": 100.5, ""combination"": [10]}], ""qpl"": [{""dividend"": 27.0, ""combination"": [8, 10]}, {""dividend"": 146.5, ""combination"": [10, 14]}, {""dividend"": 50.0, ""combination"": [8, 14]}]}",2016-10-09 00:16:53.982804
2016-10-08,1,HK,"{""quartet"": [{""dividend"": 22475.0, ""combination"": [4, 6, 7, 2]}], ""quinella"": [{""dividend"": 300.0, ""combination"": [4, 6]}], ""null"": [], ""pla"": [{""dividend"": 19.0, ""combination"": [4]}, {""dividend"": 26.0, ""combination"": [6]}, {""dividend"": 25.0, ""combination"": [7]}], ""tierce"": [{""dividend"": 4226.0, ""combination"": [4, 6, 7]}], ""win"": [{""dividend"": 63.0, ""combination"": [4]}], ""qpl"": [{""dividend"": 96.0, ""combination"": [4, 6]}, {""dividend"": 91.0, ""combination"": [4, 7]}, {""dividend"": 76.5, ""combination"": [6, 7]}]}",2016-10-09 00:17:29.654065
2016-10-08,6,HK,"{""quartet"": [{""dividend"": 48644.0, ""combination"": [10, 13, 1, 12]}], ""quinella"": [{""dividend"": 1162.5, ""combination"": [10, 13]}], ""null"": [], ""pla"": [{""dividend"": 27.0, ""combination"": [10]}, {""dividend"": 56.5, ""combination"": [13]}, {""dividend"": 34.5, ""combination"": [1]}], ""tierce"": [{""dividend"": 15776.0, ""combination"": [10, 13, 1]}], ""win"": [{""dividend"": 101.0, ""combination"": [10]}], ""qpl"": [{""dividend"": 324.5, ""combination"": [10, 13]}, {""dividend"": 152.5, ""combination"": [1, 10]}, {""dividend"": 435.0, ""combination"": [1, 13]}]}",2016-10-09 00:17:59.567341
2016-10-08,7,HK,"{""quartet"": [{""dividend"": 5091.0, ""combination"": [5, 10, 2, 8]}], ""quinella"": [{""dividend"": 117.5, ""combination"": [5, 10]}], ""null"": [], ""pla"": [{""dividend"": 12.5, ""combination"": [5]}, {""dividend"": 21.0, ""combination"": [10]}, {""dividend"": 16.0, ""combination"": [2]}], ""tierce"": [{""dividend"": 602.0, ""combination"": [5, 10, 2]}], ""win"": [{""dividend"": 26.0, ""combination"": [5]}], ""qpl"": [{""dividend"": 51.5, ""combination"": [5, 10]}, {""dividend"": 20.5, ""combination"": [2, 5]}, {""dividend"": 60.0, ""combination"": [2, 10]}]}",2016-10-09 00:18:40.902234
2016-10-08,3,HK,"{""quartet"": [{""dividend"": 58966.0, ""combination"": [3, 6, 7, 4]}], ""quinella"": [{""dividend"": 1205.0, ""combination"": [3, 6]}], ""null"": [], ""pla"": [{""dividend"": 98.5, ""combination"": [3]}, {""dividend"": 17.5, ""combination"": [6]}, {""dividend"": 12.0, ""combination"": [7]}], ""tierce"": [{""dividend"": 10328.0, ""combination"": [3, 6, 7]}], ""win"": [{""dividend"": 627.5, ""combination"": [3]}], ""qpl"": [{""dividend"": 220.0, ""combination"": [3, 6]}, {""dividend"": 160.5, ""combination"": [3, 7]}, {""dividend"": 28.0, ""combination"": [6, 7]}]}",2016-10-09 00:19:18.200540
2016-10-12,2,HK,"{""pla"": [{""combination"": [5], ""dividend"": 17.0}, {""combination"": [6], ""dividend"": 26.0}, {""combination"": [4], ""dividend"": 202.5}], ""quartet"": [{""combination"": [5, 6, 4, 7], ""dividend"": 73001.0}], ""win"": [{""combination"": [5], ""dividend"": 29.0}], ""tierce"": [{""combination"": [5, 6, 4], ""dividend"": 8249.0}], ""null"": [], ""quinella"": [{""combination"": [5, 6], ""dividend"": 139.5}], ""qpl"": [{""combination"": [5, 6], ""dividend"": 55.5}, {""combination"": [4, 5], ""dividend"": 494.5}, {""combination"": [4, 6], ""dividend"": 1119.0}]}",2016-10-13 00:11:24.860043
2016-10-12,8,HK,"{""pla"": [{""combination"": [4], ""dividend"": 27.0}, {""combination"": [5], ""dividend"": 100.0}, {""combination"": [8], ""dividend"": 18.0}], ""quartet"": [{""combination"": [4, 5, 8, 1], ""dividend"": 409463.0}], ""win"": [{""combination"": [4], ""dividend"": 121.5}], ""tierce"": [{""combination"": [4, 5, 8], ""dividend"": 30861.0}], ""null"": [], ""quinella"": [{""combination"": [4, 5], ""dividend"": 3154.5}], ""qpl"": [{""combination"": [4, 5], ""dividend"": 759.5}, {""combination"": [4, 8], ""dividend"": 90.5}, {""combination"": [5, 8], ""dividend"": 321.5}]}",2016-10-13 00:12:04.488667
2016-10-12,1,HK,"{""pla"": [{""combination"": [1], ""dividend"": 13.5}, {""combination"": [6], ""dividend"": 17.5}, {""combination"": [5], ""dividend"": 24.0}], ""quartet"": [{""combination"": [1, 6, 5, 12], ""dividend"": 21191.0}], ""win"": [{""combination"": [1], ""dividend"": 23.5}], ""tierce"": [{""combination"": [1, 6, 5], ""dividend"": 513.0}], ""null"": [], ""quinella"": [{""combination"": [1, 6], ""dividend"": 93.0}], ""qpl"": [{""combination"": [1, 6], ""dividend"": 34.0}, {""combination"": [1, 5], ""dividend"": 47.5}, {""combination"": [5, 6], ""dividend"": 86.5}]}",2016-10-13 00:12:46.852673
2016-10-12,5,HK,"{""pla"": [{""combination"": [9], ""dividend"": 28.5}, {""combination"": [6], ""dividend"": 56.5}, {""combination"": [4], ""dividend"": 25.5}], ""quartet"": [{""combination"": [9, 6, 4, 7], ""dividend"": 103012.0}], ""win"": [{""combination"": [9], ""dividend"": 119.0}], ""tierce"": [{""combination"": [9, 6, 4], ""dividend"": 12167.0}], ""null"": [], ""quinella"": [{""combination"": [6, 9], ""dividend"": 1214.0}], ""qpl"": [{""combination"": [6, 9], ""dividend"": 204.5}, {""combination"": [4, 9], ""dividend"": 132.0}, {""combination"": [4, 6], ""dividend"": 245.0}]}",2016-10-13 00:13:34.350566
