race_date,race_no,race_location,race_country,race_id,race_time,track,race_class,course,going,distance,rating,horse_list,results_available,last_updated
2017-06-09 00:00:00.000000,8,S,SG,5591,22:20,Poly,CLASS 4 (1) ,,GOOD,1200,,"43797,43582,43193,42949,44512,43770,43621,44374,43935,43344,43889",1,2017-06-10 00:08:25.411146
2017-06-11 00:00:00.000000,4,S,SG,5592,14:10,Turf,OPEN MAIDEN (WEIGHT FOR AGE) ,D (SC),GOOD,1200,,"44537,44437,44814,44246,44633,44659,44013,44526,44470,44767,44414",1,2017-06-12 00:14:07.377874
2017-06-11 00:00:00.000000,8,S,SG,5592,16:15,Poly,CLASS 5 ,,GOOD,1100,,"44336,42028,41177,43268,41239,41274,41961,44081,41573,43471",1,2017-06-12 00:14:39.049501
2017-06-11 00:00:00.000000,9,S,SG,5592,16:50,Turf,KRANJI STAKES A (SET WEIGHTS) ,D (SC),GOOD,1400,,"41105,42083,43275,43885,42675,42300,43340,43139,42744",1,2017-06-12 00:14:48.742142
2017-06-11 00:00:00.000000,10,S,SG,5592,17:25,Poly,CLASS 4 ,,GOOD,1100,,"42844,44029,44226,43305,44513,44162,43220,42390,44324,42191,44708,43080",1,2017-06-12 00:14:59.541312
2017-06-11 00:00:00.000000,2,ST,HK,,13:30,AWT,5,,Good,1200,40-0,"T073,S409,S320,V215,T079,T356,T022,T027,V317,T340,A014,V389",1,2017-06-12 00:11:47.232259
2017-06-11 00:00:00.000000,2,S,SG,5592,13:10,Poly,RESTRICTED MAIDEN (2 AND 3 YEAR OLD) (WEIGHT FOR AGE) ,,GOOD,1000,,"44691,44469,44579,44479,44623,44568,44716,44586,44801,44732,44099",1,2017-06-12 00:13:50.345604
2017-06-11 00:00:00.000000,7,S,SG,5592,15:45,Turf,CLASS 5 ,D (SC),GOOD,2000,,"43795,43816,41271,40596,42917,44027,44038,44354,42682,43641",1,2017-06-12 00:14:31.422865
2017-06-11 00:00:00.000000,10,ST,HK,,17:50,Turf,3,C,Good To Firm,1600,80-60,"V316,V321,P309,P363,V134,V019,V361,A118,A218,A172,V217,V333,A227,A239",1,2017-06-12 00:12:45.078311
2017-06-11 00:00:00.000000,1,S,SG,5592,12:40,Turf,CLASS 5 (1) ,D (SC),GOOD,1400,,"43528,43502,43645,43082,43896,44335,44306,41695,43160,44300,42524,44497",1,2017-06-12 00:13:43.562186
2017-06-11 00:00:00.000000,5,S,SG,5592,14:40,Turf,CLASS 5 (2) ,D (SC),GOOD,1400,,"42623,42877,44026,42404,42488,42749,43799,42556,43856,44105,39682",1,2017-06-12 00:14:14.751898
2017-06-11 00:00:00.000000,6,S,SG,5592,15:10,Turf,"INGLIS READY2RACE STAKES OPEN 2YO (CONDITION WEIGHT) (4TH LEG SINGAPORE GOLDEN HORSESHOE SERIES) (RIDER ALLOWANCES NOT PERMITTED) ($10,000 BONUS TO WINNING QUALIFIED HORSES)",D (SC),GOOD,1200,,"44796,44722,44573,44753,44622,44789,44780,44707,44576,44668,44765,44744",1,2017-06-12 00:14:24.023412
2017-06-14 00:00:00.000000,1,HV,HK,,19:15,Turf,4,B,Good To Firm,1650,60-40,"T333,S245,T056,V119,S023,V417,N177,S138,T159,T335",1,2017-06-15 00:05:04.916727
2017-06-16 00:00:00.000000,1,S,SG,5593,18:50,Poly,CLASS 5 ,,GOOD,1000,,"42500,44079,38307,43978,43993,42025,43720,43748,42090,44387,43747,43516",1,2017-06-17 00:08:05.379344
2017-06-16 00:00:00.000000,2,S,SG,5593,19:20,Poly,SELANGOR TURF CLUB TROPHY CLASS 4 (2) ,,GOOD,1000,,"44313,44440,44712,41568,44312,42691,44407,42631,44639,43106",1,2017-06-17 00:08:11.453400
2017-06-14 00:00:00.000000,2,HV,HK,,19:45,Turf,4,B,Good To Firm,1650,60-40,"V164,T369,N432,V171,T187,T338,V182,S078,V276,T282",1,2017-06-15 00:06:11.047440
2017-06-14 00:00:00.000000,7,HV,HK,,22:15,Turf,2,B,Good To Firm,1800,100-80,"A066,V186,T188,V381,T094,T230,T109,T197,T370,T379,V181,S242",1,2017-06-15 00:11:03.537176
2017-06-16 00:00:00.000000,5,S,SG,5593,20:50,Turf,CLASS 5 ,E (SC),GOOD,1600,,"43956,44316,43045,44107,42404,44464,41697,43504,44375,44496",1,2017-06-17 00:09:04.530623
2017-06-18 00:00:00.000000,7,ST,HK,,16:05,AWT,3,,Wet Slow,1650,80-60,"T281,P267,V111,S312,T376,T417,T391,P421,A232,S014,A169,V232,T098",1,2017-06-19 00:05:48.061720
2017-06-18 00:00:00.000000,5,S,SG,5594,15:25,Turf,ATO 2012 STAKES KRANJI STAKES D (1) (SET WEIGHTS) ,A (LC),GOOD,1400,,"43726,44002,44510,44042,44180,44416,40786,42604,44505,44183,42530,44450,44525",1,2017-06-19 00:14:41.708454
2017-06-14 00:00:00.000000,3,HV,HK,,20:15,Turf,4,B,Good To Firm,1200,60-40,"S385,A059,V074,V022,S349,S044,T289,S096,A209,V309,A219,S291",1,2017-06-15 00:06:58.131784
2017-06-18 00:00:00.000000,6,S,SG,5594,15:55,Poly,SPEED BABY 2011 STAKES OPEN BENCHMARK 97 ,,GOOD,1100,,"43139,41361,43558,42781,42485,42584,44191,43347",1,2017-06-19 00:15:22.418272
2017-06-18 00:00:00.000000,9,S,SG,5594,17:35,Turf,JOLIE'S SHINJU 2009 STAKES CLASS 4 ,A (LC),GOOD,1600,,"44040,43967,44350,43550,44317,44516,43602,43831,43915,43634,44653,44225,43334,44624",1,2017-06-19 00:16:11.755483
2017-06-14 00:00:00.000000,4,HV,HK,,20:45,Turf,3,B,Good To Firm,1000,80-60,"S216,A051,T334,S397,T324,T392,T427,S404,V014,A233",1,2017-06-15 00:07:51.808634
2017-06-16 00:00:00.000000,8,S,SG,5593,22:20,Poly,CLASS 4 (1) ,,GOOD,1000,,"42748,43710,43852,43132,43061,42629,44823,44662,43540",1,2017-06-17 00:10:15.074865
2017-06-18 00:00:00.000000,9,ST,HK,,17:10,Turf,2,C+3,Good To Yielding,1600,100-80,"V410,T406,T087,V214,A041,A024,T305,T355,S332,A091,T342,P031",1,2017-06-19 00:06:58.191470
2017-06-18 00:00:00.000000,8,ST,HK,,16:35,Turf,3,C+3,Good To Yielding,1200,80-60,"V068,V235,A244,A260,A171,A215,V256,V248,A253,A216,T419",1,2017-06-19 00:05:04.273209
2017-06-18 00:00:00.000000,2,ST,HK,,13:30,Turf,5,C+3,Good To Yielding,1800,40-0,"V213,P354,S346,P128,P293,V063,T323,S205,V179,N416,V058,S328,S417,S286",1,2017-06-19 00:07:43.053512
2017-06-18 00:00:00.000000,3,ST,HK,,14:00,Turf,4,C+3,Good To Yielding,1400,60-40,"N309,A110,V102,V265,V324,T202,A190,A055,A004,S218,S106,A018,A224,A272",1,2017-06-19 00:08:57.887797
2017-06-16 00:00:00.000000,3,S,SG,5593,19:50,Turf,RESTRICTED MAIDEN (2 AND 3 YEAR OLD) (WEIGHT FOR AGE) ,E (SC),GOOD,1200,,"44611,44068,44620,44618,44110,44678,44152,44723,44661,44737,44816",1,2017-06-17 00:08:18.025974
2017-06-14 00:00:00.000000,8,HV,HK,,22:50,Turf,3,B,Good To Firm,1200,80-60,"A040,T024,V347,A150,V278,P041,V071,T405,T248,T112,A094,V200",1,2017-06-15 00:08:32.093726
2017-06-16 00:00:00.000000,4,S,SG,5593,20:20,Turf,PENANG TURF CLUB TROPHY KRANJI STAKES C (SET WEIGHTS) ,E (SC),GOOD,2000,,"44584,43746,42996,43703,42041,43434,44198,42888,41492",1,2017-06-17 00:08:52.872315
2017-06-16 00:00:00.000000,6,S,SG,5593,21:20,Poly,PERAK TURF CLUB TROPHY OPEN BENCHMARK 67 ,,GOOD,1200,,"43545,43759,44169,44101,44161,42464,44219,44231,41989,41521,40405,43972",1,2017-06-17 00:09:12.752787
2017-06-18 00:00:00.000000,4,ST,HK,,14:30,AWT,4,,Wet Slow,1650,60-40,"V154,S326,V001,S244,P425,T385,V349,V323,T220,P272,V242,V226,V334,S344,V240",1,2017-06-19 00:09:41.601032
2017-06-14 00:00:00.000000,5,HV,HK,,21:15,Turf,4,B,Good To Firm,1200,60-40,"A179,A052,S399,T183,T284,V302,A029,S324,S185,A144,V086,T207",1,2017-06-15 00:09:32.667310
2017-06-18 00:00:00.000000,2,S,SG,5594,13:50,Poly,WAR AFFAIR 2015 STAKES INITIATION (4 YEAR OLD AND BELOW) (WEIGHT FOR AGE) (HORSES NOT WON A RACE IN 2YRS PRIOR TO NOMINATION DATE & NOT HAD > 8 STARTS IN SIN / MSIA) ,,GOOD,1200,,"44851,44656,44302,44157,44774,44812,44729,44092,44680,44792,44824,44057",1,2017-06-19 00:13:09.987716
2017-06-14 00:00:00.000000,6,HV,HK,,21:45,Turf,3,B,Good To Firm,1650,80-60,"V020,A134,T046,T218,V279,T368,S447,T095,V025,V407,V223",1,2017-06-15 00:10:19.167835
2017-06-18 00:00:00.000000,10,ST,HK,,17:45,Turf,2,C+3,Good To Yielding,1200,100-80,"V290,V092,V342,T396,S212,V151,A021,T200,T400,T051,A183,A250,V307",1,2017-06-19 00:10:29.142124
2017-06-18 00:00:00.000000,3,S,SG,5594,14:20,Poly,SPALATO 2014 STAKES CLASS 4 ,,GOOD,1100,,"44155,44572,42323,44595,44397,43254,43787,43104,44072,42176",1,2017-06-19 00:13:30.282561
2017-06-18 00:00:00.000000,4,S,SG,5594,14:50,Turf,SUPER EASY 2013 STAKES CLASS 4 (2) ,A (LC),GOOD,1200,,"43580,44158,44621,44340,44578,43297,43877,44488,42155,44454",1,2017-06-19 00:14:18.253570
2017-06-18 00:00:00.000000,7,S,SG,5594,16:25,Turf,INTERCEPT 2010 STAKES CLASS 3 ,A (LC),GOOD,1200,,"44392,43932,42867,42570,42601,44258,44086,43477,42630,43841,43638",1,2017-06-19 00:15:41.168159
2017-06-18 00:00:00.000000,5,ST,HK,,15:00,Turf,4,C+3,Good To Yielding,1200,60-40,"V379,P400,A123,V088,T373,T345,T129,A221,T059,A275,V402,A185",1,2017-06-19 00:11:05.503165
2017-06-18 00:00:00.000000,6,ST,HK,,15:35,Turf,3,C+3,Good To Yielding,1800,80-60,"S355,V184,V326,S437,V013,T145,A201,S266,V192",1,2017-06-19 00:11:50.499944
2017-06-18 00:00:00.000000,1,ST,HK,,13:00,Turf,,C+3,Good To Yielding,1000,,"A299,A301,A220,A198,A020,A070,A181",1,2017-06-19 00:12:23.474256
2017-06-18 00:00:00.000000,1,S,SG,5594,13:20,Turf,WELL DONE 2016 STAKES KRANJI STAKES D (2) (SET WEIGHTS) ,A (LC),GOOD,1400,,"43705,44591,43992,44517,44499,44124,44256,44019,44379,44185,44242",1,2017-06-19 00:12:59.994108
2017-06-23 00:00:00.000000,8,S,SG,5595,22:20,Poly,CLASS 4 ,,GOOD,1200,,"44356,43266,44291,44610,41510,42801,44736,44359,42642,41847",1,2017-06-24 00:08:36.289729
2017-06-28 00:00:00.000000,5,HV,HK,,21:15,Turf,3,C+3,Good To Firm,1200,80-60,"V017,V347,T427,T210,A007,P435,S216,A163,T248,V200,P212,A195",1,2017-06-29 00:06:01.578838
2017-06-28 00:00:00.000000,8,HV,HK,,22:50,Turf,3,C+3,Good To Firm,1200,80-60,"V412,V229,S385,A203,V235,A305,P106,P429,P041,V012,T024,A064,T382",1,2017-06-29 00:05:05.281717
2017-06-30 00:00:00.000000,2,S,SG,5597,19:20,Turf,CLASS 4 ,D (LC),GOOD,1800,,"44518,44542,44420,44040,43915,42614,44480,43795,43046,43963,42693,44517",1,2017-07-01 00:06:34.445110
2017-06-18 00:00:00.000000,8,S,SG,5594,17:00,Turf,PATRON'S BOWL (GROUP 1) (4 YEAR OLD) (SET WEIGHTS) (2NG LEG - SINGAPORE 4-YEAR-OLD CHALLENGE) (RIDER ALLOWANCES NOT PERMITTED) ,A (LC),GOOD,1600,,"44168,44493,44003,44144,44351,43783,44434,44116,44111,44751,44483",1,2017-06-19 00:15:54.143046
2017-06-18 00:00:00.000000,10,S,SG,5594,18:05,Turf,PHENOM 2008 STAKES CLASS 4 (1) ,A (LC),GOOD,1200,,"43559,43805,44632,43220,43895,44331,42611,44260,44541,44412,43735,44252,44688",1,2017-06-19 00:16:28.111859
2017-06-16 00:00:00.000000,7,S,SG,5593,21:50,Turf,CLASS 5 ,E (SC),GOOD,1200,,"43834,41075,44095,43781,43299,44382,44166,44400,43084,43515,43392,43936",1,2017-06-17 00:09:38.085485
2017-06-26 00:00:00.000000,10,S,SG,5596,17:35,Turf,CLASS 4 ,C (LC),GOOD,1200,,"43833,44305,43717,44248,42590,43929,43935,42855,43787,44512,43372",1,2017-06-27 00:07:15.844378
2017-06-25 00:00:00.000000,4,ST,HK,,14:15,Turf,3,A,Good To Firm,1200,80-60,"A139,T302,T348,A257,V135,A094,P310,S419,S420,A131,A251,A237,V269,A227",1,2017-06-26 00:08:18.765120
2017-06-25 00:00:00.000000,1,ST,HK,,12:45,Turf,5,A,Good To Firm,1400,40-0,"V243,T258,A012,V144,T418,V215,V309,T280,S176,V377,T004,T079,S251,T136",1,2017-06-26 00:06:04.143749
